id,Koulun nimi,name,desc,precision,latitude,longitude,1a. Onko koulussanne ollut tai onko koulussanne tällä hetkellä,1b. Onko havaittu ongelma vielä olemassa?,1c. Tarkenna halutessasi vastausta,2a. Miten tilanne on varmennettu rakennusteknisesti tai muilla tutkimuksilla?,2b. Tarkenna halutessasi vastausta,3. Minä vuonna ongelma on havaittu?,4a. Onko kouluterveydenhuolto selvittänyt oppilaiden oireilua tai sairastumista?,4b. Onko työterveyshuolto selvittänyt työntekijöiden oireilua tai sairastumista?,5. Onko koulunne oppilaita siirretty muihin tiloihin ongelmien vuoksi?,"6. Arvionne, millä summalla korjaustöitä on tehty?",7. Onko teille myönnetty näihin korjauksiin valtion kohdentamaa tukea?,8. Mitä esteitä on tullut ongelman hoitamisessa ja rakennuksen kuntoon saattamisessa?,Koulurakennuksen rakennusvuosi,Peruskoulun oppilasmäärä
36,Kurkiauran koulu,"Leivonmäentie 6, 41770 Leivonmäki","Leivonmäentie 6, FI-41770 Joutsa, Finland",address,61.91726,26.12356,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,"Koulurakennuksemme on rakenettu 1976 ja viime vuosituhannen lopulla se oli niin surkeassa kunnossa, että se laitettiin käyttökieltoon (kosteus- ja homeongelmat johtuivat tasakattorakenteesta, virheellisistä ulkoseinärakenteista sekä maastatulevista kosteusvaurioista). Koulumme peruskorjattiin täysin vuonna 2000 ja sen jälkeen sisäilmaongelmia on ollut vähän ( pieni vuoto-ongelma talvella 2001, matalan ja korkean osan välillä oli liian matalat suojapellit; lumen sulaessa vesi valui seinää pitkin alas, pelteja korotettiin ja kostuneet puuosat uusittiin, tämän jälkeen ongelmia ei ole ollut.",Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,,,,,,,,,1976,42
37,Tyngän aluekoulu,"Tilvistie 33, 85140 Tynkä","Tilvistie 33, FI-85140 Kalajoki, Finland",address,64.1989,24.06814,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,"uusi koulu, rakennettu 2010",Muulla kuntoarviolla,"uusi koulu, rakennettu 2010, joten rakennus- ja vuositarkastus tehty vast´ikään",,,,,,,,2010,146
38,Ounasvaaran peruskoulu,"Poropolku 7, 96400 Rovaniemi, Finland","Poropolku 7, FI-96400 Rovaniemi, Finland",address,66.49664,25.75478,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Ilmanvaihdon riittämättömyys,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2012,Kyllä,Kyllä,Ei,10 000 – 100 000 €,En osaa sanoa,Vanhaa konekantaa yritetään sovittaa tämän päivän vaatimuksiin huonoin tuloksin.,1970,720
39,Karstulan peruskoulu,"Koulutie 13, 43500 Karstula, Finland","Koulutie 13, FI-43500 Karstula, Finland",address,62.87973,24.81014,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,2015,En osaa sanoa,Ei,Ei,10 000 – 100 000 €,Ei,"Ei esteitä. On tehty periaatepäätös syksyn aikana, että uusi koulu rakennetaan",1960,450
40,Haapajärven yläaste,"Kalakankaantie 152, 85800 Haapajärvi","Kalakankaantie 152, FI-85800 Haapajärvi, Finland",address,63.73957,25.27408,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Ilmanvaihto on vajaatehoinen ja sammutetaan yöksi, jolloin ilma tunkkainen aamuisin.",Rakennuksen kuntotutkimuksella,,,,,,,,,1968,319
41,Saarniston koulu,"Santtiontie 17, 23500 Uusikaupunki","Santtiontie 17, FI-23500 Uusikaupunki, Finland",address,60.817921,21.4108286,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Yhdessä luokassa hiilidioksidipitoisuudet nousevat ilmastoinnin ollessa opiskytkettynä,Sisäilmanlaadun tutkimuksilla,"Hiilidioksidipitoisuutta on mitattu sen jälkeen ilmastointikanavat puhdistettu ja desinfioitu, suodattimia vaihsettu",2015,Ei,Ei,Ei,0 – 10 000 €,Ei,,1989,140
42,Louen koulu,"Louesaarentie 19, 95340 Loue","Louesaarentie 19, FI-95340 Tervola, Finland",address,66.14089,24.95495,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,,,,,,,,,1957,39
43,Raumankarin koulu,"Leipämäentie 8, 68100 Himanka, Finland","Leipämäentie 8, FI-68100 Kalajoki, Finland",address,64.06494,23.66135,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella,,,,,,,,,1969,324
44,ruonan koulu,"ruonantie 104, 63130 Ruona (Kuortane)","Ruonantie 104, FI-63150 Kuortane, Finland",address,62.8488252,23.4821414,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella,,,,,,,,,1985,41
45,Kirkkomännikön koulu,Koulutie 4 63300 Alavus,"Koulutie 4, FI-63300 Alavus, Finland",address,62.59192,23.62027,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,Koulumme on juuri massiivisesti peruskorjattu,Ei millään em. tavalla,Kaikki materiaalit ja rakenteet uusittu. Ilmastointi asennettu. Mittava peruskorjaus.,,,,,1 000 000 – 10 000 000 €,,,1954,412
46,Putaanvirran koulu,"Koulutie 4, 44800 Pihtipudas","Koulutie 4, FI-44800 Pihtipudas, Finland",address,63.36785,25.58414,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,,,,,,,,,2012,424
47,Vanhan Vaasan koulu,"Kustaa III:n Polku 2, 65380 Vaasa, Finland","Kustaa III:n polku 2, FI-65380 Vaasa, Finland",address,63.0818666,21.7183045,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Ilmastointi ei toimi kunnolla.,Muulla kuntoarviolla,,2015,Ei,Ei,Kyllä,100 000 – 1 000 000 €,Ei,,1978,254
48,Hyrynsalmen yhtenäiskoulu,"Kaarnatie 1, 89400 Hyrynsalmi","Kaarnatie 1, FI-89400 Hyrynsalmi, Finland",address,64.67299,28.4949,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,"Ei ole ollut tarvetta tutkimuksiin, koska sisäilmaongelmaa ei ole havaittu.<br /><br />Tarkennus taustatietoihin:<br />Koulumme on peruskorjattu 2011-2012, rakennettu 1967.",,,,,,,,1967,153
49,Ryttylän koulu,"Koulutie 14, 12310 Ryttylä","Koulutie 14, FI-12310 Hausjärvi, Finland",address,60.81533,24.76495,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Vajaatehoinen ilmanvaihto heikentää sisäilmaa oppituntien aikana, mutta mittausten mukaan raja-arvot eivät kuitenkaan ylity. Tämä koskee muutamia opetustiloja koulussa.",Sisäilmanlaadun tutkimuksilla,,2014,Ei,Ei,Ei,1 000 000 – 10 000 000 €,Kyllä,"Koulussamme on menossa koulukeskuksen uudistamisvaihe. Tällä hetkellä koulussa on sekä täysin remontoituja ja uudistettuja tiloja, mutta vanha päärakennus odottaa purkua ja uuden koulun rakentamista, joka on tarkoitus alkaa kesällä 2017. Vanha päärakennus on huonokuntoinen, muttei ainakaan tällä hetkellä ole laajamittaisempaa oireilua rakennuksessa. Tällä hetkellä n. puolet koulun oppilaista ovat uusissa tiloissa ja puolet vanhassa 1960-luvun rakennuksessa. Kunnassa on satsattu jo tehdyn osalta projektiin, mutta rakentaminen laitettiin jäihin muutamaksi vuodeksi rahan puutteen vuoksi.",1960,211
50,Kymönkosken koulu,"Hanhiniementie 9, 44640 Kymönkoski","Hanhiniementie 9, FI-44640 Viitasaari, Finland",address,63.11363,25.94098,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Koulussa siirryttiin öljystä pellettilämmitykseen muutama vuosi sitten. Tilapalvelu rakennutti pellettivaraston koulun alakertaan. Siitä alkoi sisäilmaongelmat, jotka havaittiin ja ryhdyttiin muutoksiin. Siirto takaisin öljyyn, tilojen puhdistus ja ongelmasta on päästy ajan myötä eroon.",Ei millään em. tavalla,,,Kyllä,Ei,Ei,0 – 10 000 €,Ei,,1969,47
51,Länkipohjan koulu,"Kalliomäentie 9, 35400 Länkipohja","Kalliomäentie 9, FI-35400 Jämsä, Finland",address,61.73093,24.78684,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,,,,,,,,,1953,52
52,Kuoreveden koulu,"Opinkuja 2, 35600 Halli","Opinkuja 2, FI-35600 Jämsä, Finland",address,61.86104,24.82359,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,,,,,,,,,1964,185
53,Puumalan yhtenäiskoulu,"Kirkkotie 3 B, 52200 Puumala","Kirkkotie 3B, FI-52200 Puumala, Finland",address,61.5250223,28.175907,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Epätasainen lämpötila ja huono ilmanvaihto, joka ilmeni lähinnä tunkkaisena sisäilmana, muttei aiheuttanut oireita. Asia saatiin korjattua  perusteellisella ilmanvaihdon säädöllä, joka tehtiin oppilaiden syysloman aikana. Yhdessä opetustilassa aiemmin altistuneet saivat allergiaoireita, vaikka sisäilmatutkimuksessa ei löytynyt mitään. Tämä tila remontoitiin kesäloman aikana ja ongelmasta päästiin eroon.",Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,,,,,,,,,1953,139
54,Oripään koulu,"Turuntie 33, 32500 Oripää","Turuntie 33, FI-32500 Oripää, Finland",address,60.84712,22.69039,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,-,Muulla kuntoarviolla,-,,,,,,,,1945,121
55,Nilonkankaan koulu,"Katekeetantie 3 H, 93600 Kuusamo","Katekeetantie 3H, FI-93600 Kuusamo, Finland",address,65.97788,29.18177,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia); koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia",,Muutamia työntekijöitä ilmoittanut heikosta ilman laadusta. Toisessa rakennuksessa olevasta AP/IP -tilasta tullut useampia ilmoituksia.,Muulla kuntoarviolla,Hiilidioksidimittauksia tehty tiloissa.,,,,,,,,1966,300
56,Mieskonmäen koulu,"Hirvensalmentie 192, 19670 Mieskonmäki","Hirvensalmentie 192, FI-19670 Joutsa, Finland",address,61.8542866,26.2975022,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Muulla kuntoarviolla,"Tuoreimmat: vko 45 terveydellisten olojen tarkastus, joka 3. kk turvallisuuskävely, joka kk teknisen toimen osoittaman työntekijän tarkastuskierros, päivittäin yleistyöntekijä ja koulun henkilökunta tekee havaintoja n. 250 m2 kiinteistöstä ja sen ympäristöstä. Kunnostuksia, mm. n. 13 vuotta sitten katon uusinta, pihan pintavesijärjestelmän kunnostus vajaa 10 vuotta sitten sekä poistumisteiden ikkunoiden ja ovien kunnostukset tehty ennakoidusti ja tarpeen mukaan. ",,,,,,,,1902,26
57,Partalan koulu,"Partalantie 1, 74160 Iisalmi","Partalantie 1, FI-74160 Iisalmi, Finland",address,63.61835,27.14714,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla,Aistiavaraiset havainnot käyttäjiltä ja teknisen keskuksen edustajilta.  Rakenteiden purku tarkistamista varten (jos on ollut tarvetta tai pientäkään epäilyä).  Onneksi ei ole tarvinnut suuria purkamisia tehdä...,,,,,,,,1913,22
58,Sänkikankaan koulu,Lämsänkyläntie 1 93999 Kuusamo,"Lämsänkyläntie 1, FI-93999 Kuusamo, Finland",address,65.90779,29.20859,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Pytty hajosi ja viemäri haisee ajoittain.,Muulla kuntoarviolla,"Lattia avattu, kuivattu ja viemäröity.",2014,Ei,Ei,Ei,0 – 10 000 €,En osaa sanoa,Wc oli pois käytöstä useita viikkoja.,1952,45
59,Mäkelän koulu,"Saapungintie 9, 93600 Kuusamo","Saapungintie 9, FI-93600 Kuusamo, Finland",address,66.00372,29.25496,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Muutaman kerran vuodessa joihinkin koulun tiloihin tupsahtaa hormista nokea.,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,,2008,Ei,Ei,Ei,0 – 10 000 €,Ei,Ongelman syytä ei ole saatu selvitettyä.,1953,70
60,Luvian peruskoulu,"Kirkkotie 18, 29100 Luvia","Kirkkotie 18, FI-29100 Luvia, Finland",address,61.360593,21.6263036,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,Koulurakennuksissa on ollut laajoja sisäilmaongelmia useissa rakennuksissa.,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,"Lisäksi on tehty oirekyselyjä sekä oppilaille, että henkilökunnalle.",2011,Kyllä,Ei,Kyllä,1 000 000 – 10 000 000 €,Kyllä,"Suurimmat ongelmat ovat olleet ongelmien tunnistamisessa, rahoituksen löytämisessä sekä aikataulujen hitaudessa.<br /><br />Kyselylomaakkeen kysymys koulurakennuksen iästä on mahdoton vastata neljällä numerolla. Käytössämme on ollut useita rakennuksia, jotka on rakennettu 1900-luvun eri vuosikymmeninä. Osa näistä on otettu jo pois käytöstä. ",1900,400
61,Suoraman koulu,"Kyötikkäläntie 10, 36220 Kangasala, Finland","Kyötikkäläntie 10, FI-36220 Kangasala, Finland",address,61.4737,24.00226,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,,,,,,,,2014,515
62,Pohjan koulu,"Iso-Maijalantie 31, 36840 Pohja","Iso-Maijalantie 31, FI-36840 Kangasala, Finland",address,61.47767,24.69392,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Sisäilmanlaadun tutkimuksilla,,2011,En osaa sanoa,En osaa sanoa,Ei,0 – 10 000 €,Ei,"Koulun remonttiin oli varattu jo määräraha vuodelle 2015, remonttia kuitenkin lykätään, koska selvitetään uuden koulun rakentamisen mahdollisuus (mahdollisesti vuonna 2022 uusi koulu olisi valmis). Tällä hetkellä sisäilmaongelmaa pyritään lievittämään luokkiin asennetuilla ilmastointilaitteilla.",1952,59
63,Pitkäjärven koulu,Vatialantie 4A 36240 Kangasala,"Vatialantie 4A, FI-36240 Kangasala, Finland",address,61.47541,23.94613,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,,,,,,,,2002,404
64,Hakametsän koulu,"Tammitie 8-10, 23500 Uusikaupunki","Tammitie 8, FI-23500 Uusikaupunki, Finland",address,60.79852,21.43164,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,,,,,,,,,1978,107
65,Kontiopuiston koulu,"Kuusitie 46, 76120 Pieksämäki","Kuusitie 46, FI-76120 Pieksämäki, Finland",address,62.30192,27.18355,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Koulu peruskorjattu 2010. Ensimmäiset vuodet sisäilmaoireita opettajilla, eniten äänen häviämistä. Nyt viimeisen vuoden aikana asiat korjaantuneet. Ilmastointia lisätty, eikä oireilua enää havaittu.<br />Oppilaissa ei ole havaittu koko aikana oireilua eikä poissaolojen lisääntymistä.",Sisäilmanlaadun tutkimuksilla,Työterveyslaitoksen sisäilmastokyselynä ja toksisuusmittauksena v. 2013. Tulokset jäivät epämääräisiksi.,2010,Kyllä,Ei,Ei,Rahaa ei ole käytetty,Ei,"Ei ole ollut esteitä, on edetty kaupungin sisäilmatyöryhmän suunnitelmien mukaisesti ja seurattu tilannetta mm. terveellisyys ja turvallisuustarkastuksilla.",1952,295
66,Salmelan koulu,Salmelantie 2A 88600 Sotkamo,"Salmelantie 2a, FI-88600 Sotkamo, Finland",address,64.13544,28.39587,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla,,,,,,,,,1953,280
67,Matti Lohen koulu,"Koulutie 14, 77700 Rautalampi","Koulutie 14, FI-77700 Rautalampi, Finland",address,62.62398,26.81819,kosteus- ja homeongelma,,"Liikuntasalin näyttämön monttu (nouisevan näyttämön alla oleva tila. Maanpinnan tason alapuolella oleva tila kerää betpniseiniinsä tiivistyvää kosteutta ja hometta. Tilanne korjattu lokakuussa siivouksella (hoomeen ja muiden epäpujtaiksien poisto)  kuivaamisella sekä kapseloimalla tilan seinät? En tiedä miten tehtiin, näin minulle kerrottiin.",Rakennuksen kuntotutkimuksella,,2015,Ei,Ei,Ei,0 – 10 000 €,Ei,,1974,274
68,Lyseonmäen koulu,"Savontie 19, 18100 Heinola","Savontie 19, FI-18100 Heinola, Finland",address,61.20721,26.0326099,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Koulun peruskorjauksen yhteydessä pääsi kosteutta yhden työtilan alle, ja alue jouduttiin korjaamaan. Oireita sai vain yksi tilassa työskennellyt henkilö. <br />Parissa muussa tilassa on pitänyt säädellä ilmanvaihtoa, mm. ilmastoinnin äänekkyyttä. Myös vanhoja ilmastointikanavia tiivistetty remontin jälkeen.",Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,"Koulu on ""riittävän vanha"", valmistumisvuosi 1950, osittain 1964, ja siten paremmassa kunnossa kuin monet nuoremmat rakennukset. Homekouluista siirtyneillä ovat oireet helpottaneet meidän koulussamme.",2013,Ei,Ei,Ei,10 000 – 100 000 €,Ei,Ei ollut esteitä.,1950,550
69,Vieremän Kirkonkylän koulu,"Petterintie 12, 74200 Vieremä","Petterintie 12, FI-74200 Vieremä, Finland",address,63.74051,27.00534,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,Laajamittaisilla rakenneavauksilla varmistettiin mistä ongelmat voivat johtua. Rakenneavaukset tukivat kuntotutkimusta.<br />,2010,Kyllä,Ei,Kyllä,1 000 000 – 10 000 000 €,Ei,Koulun peruskorjaus on käynnissä.<br />Lisäyksenä kohtaan 4b. Työterveys ei ole selvittänyt oppilaiden oireilua tai sairastumista. Henkilökunnan asioissa työterveys on ollut mukana.,1968,257
70,Hankoniemen yläaste ja lukio,"Bromarvsgatan 41, Hangö, Finland","Bromarvsgatan 41, FI-10900 Hangö, Finland",address,59.83125,22.96084,kosteus- ja homeongelma,,Löytynyt mikrobikasvustoa ja kosteutta.,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,Tehty rakennetutkimuksia sekä sisäilman VOC-mittauksia.,2015,Ei,Kyllä,Kyllä,10 000 – 100 000 €,Ei,"KUSTANNUKSET, RAHA<br />myös ollut ongelmia selvittää mistä määrätyt ongelmat johtuvat",1983,120
71,Vesilahden yläaste,"Koulutie 2 37470, Vesilahti","Koulutie 2, FI-37470 Vesilahti, Finland",address,61.30103,23.62639,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,muutamassa luokassa on muutamina kuukausina vuodesta hieman turhan lämmin,Ei millään em. tavalla,,,,,,,,,1992,224
72,Haarajoen koulu,"Haarajoenkatu 2, 04480 Järvenpää, Finland","Haarajoenkatu 2, FI-04480 Järvenpää, Finland",address,60.49758,25.14598,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,,,,,,,,,1957,250
73,Myllypohjan koulu,"Vanha Ahtialantie 93, 15300 Lahti","Vanha Ahtialantie 93, FI-15300 Lahti, Finland",address,60.99317,25.75972,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Sisäilman laatu huono vuonna 1988 valmistuneen laajennnusosan puolella. Epäily myös 1956 rakennetulla osalla, joka perusparannettu 1988. Mittaukset tehdään tammi-helmikuussa 2016. Opettajien ja oppilaiden oireilua.<br />Ei tarkempaa määrittelyä tällä hetkellä.",Ei millään em. tavalla,Mittaukset tulossa 2016.,2015,Kyllä,Kyllä,Ei,Rahaa ei ole käytetty,Ei,Ei toistaiseksi mitään.,1956,298
74,Keskuskoulu,Koulukatu 7 30100 Forssa,"Koulukatu 7, FI-30100 Forssa, Finland",address,60.81323,23.62886,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Muulla kuntoarviolla,,,,,,,,,1964,341
75,Väliojan koulu,Väliojantie 30 85840 Kuona,"Väliojantie 30, FI-85840 Haapajärvi, Finland",address,63.74898,25.46271,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla,,,,,,,,,1954,41
76,Liipolan koulu,"Ostoskatu 3, 15500 Lahti","Ostoskatu 3, FI-15500 Lahti, Finland",address,60.96298,25.66694,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Vanha koulu purettiin kaksi vuotta takaperin, opiskelimme kolem vuotta parakeissa, joiss amyös sisäilmaongelmia kosteusvaurioiden takia.<br />Nyt syksyllä 2015 aloitimme uudessa rakennuksessa.<br />Jossa nyt todennäköisesti materiaalilähtöisiä päästoongelmia.",Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla,Nyt arvioidaan miten edetään...,2000,Kyllä,Kyllä,Kyllä,1 000 000 – 10 000 000 €,Ei,,2015,134
77,Vehkataipaleen koulu,"Kanavakuja 7, 54960 Vehkataipale, Finland","Kanavakuja, FI-54960 Taipalsaari, Finland",street,61.15149,28.2268,"kosteus- ja homeongelma; jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,,Sisäilmanlaadun tutkimuksilla,,2014,Kyllä,Kyllä,Kyllä,100 000 – 1 000 000 €,Ei,,1914,62
78,Myllykosken yhteiskoulu,"Länsiasemantie 1-3, 46800 Myllykoski","Länsiasemantie 1-3, FI-46800 Kouvola, Finland",address,60.77112,26.78419,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,"Koulussamme ei ole ilmastointia, on vain poistoimureita. Tuloilma otetaan avatuista ikkunoista tai ikkunoiden yläpuolella olevista ilmanvaihtoventtiileistä. Kylmällä ilmalla, kun ei tarkene tuulettaa, hiilidioksidipitoisuudet kasvavat luokissa melkoisesti ja väsyttävät niin opettajia kuin oppilaitakin. Ongelma ei liene kovin erityinen.",Sisäilmanlaadun tutkimuksilla,"Kaupungin sisäilmatyöryhmä on kiertänyt koulun muutamaankin kertaan ja todennut mainitsemani seikan. Käyttivätkö mittareita vai oliko kyseessä aistinvarainen tutkimus, en tiedä. Varsinaista raporttia en ole nähnyt.",,,,,,,,1959,224
79,Meritalon koulu,"Anjalankatu 5, 24100 Salo","Anjalankatu 5, FI-24100 Salo, Finland",address,60.38819,23.13773,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella,,,,,,,,,2003,111
80,Sirkkulan koulu,Ylhäistentie 336  24130 Salo,"Ylhäistentie 336, FI-24130 Salo, Finland",address,60.34466,23.12744,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,,,,,,,,,1908,97
81,Komisuon koulu,"Suomusjärventie 151, 25390 Kiikala, Finland","Suomusjärventie 151, FI-25390 Salo, Finland",address,60.45596,23.57233,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,,,Ei,Ei,Ei,Rahaa ei ole käytetty,Ei,,2007,55
82,Pikkolan koulu,"Finnentie, 36200 Kangasala, Finland","Finnentie, FI-36200 Kangasala, Finland",street,61.46278,24.06417,"jokin muu sisäilmaongelma (esim. ilmanvaihtoon, lämpöoloihin tai sisäilman laatuun liittyviä ongelmia)",,"Ilmastoinnissa on ollut ajoittaisia ongelmia, jotka on saatu korjattua. <br />Tämä kysymys on hyvin ongelmallinen, koska on tai on ollut on aivan eri asia. Ette saa oikeastaan mitään paikkaansapitävää tietoa nykyhetkestä, mutta saatte aikaan valtavan luvun jolla voi halutessaan tehdä skandaalijournalisimia... ",Muulla kuntoarviolla,,2011,Ei,Ei,Ei,0 – 10 000 €,Ei,,1973,600
83,Vahteron koulu,"Voimakatu 1, 45150 Kouvola","Voimakatu 1, FI-45150 Kouvola, Finland",address,60.8533338,26.727235,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,Huoltajan aloitteesta koulu tutkittiin vuosina 2006-2011.<br />,Rakennuksen kuntotutkimuksella; Muulla kuntoarviolla; Sisäilmanlaadun tutkimuksilla,"Tulokset ovat siis vuosilta 2006-2011, mutta sisäilmaongelmaan viittavaa ei ole tullut esille.",,,,,,,,1991,220
84,Elisenvaaran koulu ja lukio,"Kyröntie 6, 21800 Kyrö","Kyröntie 6, FI-21800 Pöytyä, Finland",address,60.70791,22.74495,kosteus- ja homeongelma,,"-50 , -60 sekä -70 luvuilla rakennettujen osien seinien väleistä on löytynyt mikrobikasvustoa.",Rakennuksen kuntotutkimuksella; Sisäilmanlaadun tutkimuksilla,Sisäilmatutkimuksissa ei ainakaan toistaiseksi ole löytynyt hälyttäviä arvoja. Kouluun on hankittu ja hankitaan sisäilmasuodatinyksikköjä tarpeen mukaan.,2015,Kyllä,Kyllä,Kyllä,10 000 – 100 000 €,En osaa sanoa,"Ei mitään. Suunnitelmissa on korjata nykyiset tilat sellaiseen kuntoon, että näissä voidaan tehdä töitä siksi, kunnes uudet tilat valmistuvat n. vuonna 2020.",1960,225
85,Dickursby skola,"Urheilutie 4, 01370 Vantaa, Finland","Urheilutie 4, FI-01370 Vantaa, Finland",address,60.2959,25.05866,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,,,,,,,,,1896,201
86,Ounasrinteen koulu,"Matkajängäntie 5, 96440 Rovaniemi, Finland","Matkajängäntie 5, FI-96440 Rovaniemi, Finland",address,66.48707,25.80026,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,,,,,,,,,1976,484
87,Marttilan koulu,Metsäniityntie 11 21490 Marttila,"Metsäniityntie 11, FI-21490 Marttila, Finland",address,60.58868,22.88795,koulussamme ei ole havaittu sisäilmaan liittyviä ongelmia,,,Ei millään em. tavalla,Kenelläkään ei mitään oireita.<br />,,,,,,,,2002,120
